Source,Source Port,Destination,Destination Port,Interface id,Protocol,Epoch Arrival Time,Time shift for this packet,Time delta from previous captured frame,Time delta from previous displayed frame,Time since reference or first frame,Frame Number,Frame length on the wire,Frame length stored into the capture file,Total Length,Time to Live,Time data,Frame is marked,Version,Header Length,Reserved bit,Don't fragment,More fragments,Hardware Size,Protocol Size,Label
192.168.0.111,42379,224.0.0.251,5353,0,MDNS,1739168020,0,0.006371497,0.006371497,0.146408037,44,85,85,71,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,58720,224.0.0.251,5353,0,MDNS,1739168020,0,0.005955076,0.005955076,0.152363113,45,82,82,68,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,37387,224.0.0.251,5353,0,MDNS,1739168020,0,0.004792179,0.004792179,0.157155292,46,89,89,75,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,44720,224.0.0.251,5353,0,MDNS,1739168020,0,0.005626373,0.005626373,0.162781665,47,92,92,78,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.004654841,0.004654841,0.167436506,48,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,3.29E-05,3.29E-05,0.167469427,49,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.001942826,0.001942826,0.169412253,50,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,37160,224.0.0.251,5353,0,MDNS,1739168020,0,0.000143855,0.000143855,0.169556108,51,88,88,74,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,49066,224.0.0.251,5353,0,MDNS,1739168020,0,0.00499168,0.00499168,0.174547788,52,87,87,73,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,54637,224.0.0.251,5353,0,MDNS,1739168020,0,0.007490603,0.007490603,0.182038391,53,88,88,74,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
Intel_54:87:d3,0,TpLinkPte_41:24:87,0,0,ARP,1739168020,0,0.003337692,0.003337692,0.185376083,54,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,41538,224.0.0.251,5353,0,MDNS,1739168020,0,0.002691006,0.002691006,0.188067089,55,71,71,57,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,55562,224.0.0.251,5353,0,MDNS,1739168020,0,0.003606234,0.003606234,0.191673323,56,81,81,67,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,38908,224.0.0.251,5353,0,MDNS,1739168020,0,0.004863214,0.004863214,0.196536537,57,85,85,71,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.00286707,0.00286707,0.199403607,58,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.000647922,0.000647922,0.200051529,59,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,41046,224.0.0.251,5353,0,MDNS,1739168020,0,0.002208681,0.002208681,0.20226021,60,85,85,71,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.002048304,0.002048304,0.204308514,61,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,34945,224.0.0.251,5353,0,MDNS,1739168020,0,0.003535205,0.003535205,0.207843719,62,82,82,68,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,46552,224.0.0.251,5353,0,MDNS,1739168020,0,0.003371888,0.003371888,0.211215607,63,89,89,75,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,45066,224.0.0.251,5353,0,MDNS,1739168020,0,0.003760377,0.003760377,0.214975984,64,92,92,78,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,60220,224.0.0.251,5353,0,MDNS,1739168020,0,0.007088406,0.007088406,0.22206439,65,88,88,74,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,35589,224.0.0.251,5353,0,MDNS,1739168020,0,0.004597933,0.004597933,0.226662323,66,87,87,73,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,33782,224.0.0.251,5353,0,MDNS,1739168020,0,0.003301349,0.003301349,0.229963672,67,88,88,74,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.002097101,0.002097101,0.232060773,68,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,54482,224.0.0.251,5353,0,MDNS,1739168020,0,0.001120486,0.001120486,0.233181259,69,71,71,57,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,0.003274685,0.003274685,0.236455944,70,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168020,0,8.01E-06,8.01E-06,0.236463949,71,42,42,0,0,11:43:40,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,35075,224.0.0.251,5353,0,MDNS,1739168020,0,5.61E-05,5.61E-05,0.236520044,72,81,81,67,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,46599,224.0.0.251,5353,0,MDNS,1739168020,0,0.003294388,0.003294388,0.239814432,73,85,85,71,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,38800,224.0.0.251,5353,0,MDNS,1739168020,0,0.003339244,0.003339244,0.243153676,74,85,85,71,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,33716,224.0.0.251,5353,0,MDNS,1739168020,0,0.003234893,0.003234893,0.246388569,75,82,82,68,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,42918,224.0.0.251,5353,0,MDNS,1739168020,0,0.003060767,0.003060767,0.249449336,76,89,89,75,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,34782,224.0.0.251,5353,0,MDNS,1739168020,0,0.005069497,0.005069497,0.254518833,77,92,92,78,1,11:43:40,0,4,20,0,1,0,0,0,anomaly
